01.11.2023,23:15:17,60,0,12,84,1,70,28,44,9,23,14,9,3,627,4,0,3,61,-1,95,9,95,1
01.11.2023,23:15:18,91,0,11,55,2,84,27,16,19,17,19,29,1,571,9,9,6,11,4,85,5,38,2
01.11.2023,23:15:19,38,0,12,50,1,92,29,19,93,09,0,20,6,190,5,5,5,99,9,65,3,49,3
01.11.2023,23:15:20,53,0,13,77,3,49,21,62,71,36,14,30,8,141,9,10,-9,82,-3,74,2,57,2
01.11.2023,23:15:22,37,0,12,34,4,92,23,94,58,71,10,2,1,501,9,4,2,81,8,97,3,67,1
01.11.2023,23:15:23,3,0,10,61,2,95,24,18,61,52,19,14,5,448,0,3,-8,27,-0,81,5,26,3
01.11.2023,23:15:24,55,0,12,40,1,91,22,38,38,07,4,49,8,963,9,3,-9,40,-6,74,1,43,2
01.11.2023,23:15:25,84,0,12,35,4,92,22,69,68,47,16,3,4,812,9,4,8,43,9,53,7,46,3
01.11.2023,23:15:26,48,0,13,50,2,21,20,16,49,95,10,31,5,692,4,10,-1,17,-4,49,-6,68,1
01.11.2023,23:15:27,72,0,12,75,1,51,27,08,12,35,6,42,3,193,2,0,4,06,-0,66,-8,25,2
01.11.2023,23:15:28,68,0,12,78,1,33,21,55,67,80,5,18,3,435,1,8,-7,56,3,25,-3,70,2
01.11.2023,23:15:29,64,0,13,76,3,92,29,07,14,58,14,5,1,425,1,0,-2,38,3,70,3,73,3
01.11.2023,23:15:30,65,0,10,11,4,01,23,97,17,20,17,46,4,97,9,9,8,70,2,21,5,46,3
01.11.2023,23:15:32,76,0,13,94,4,91,26,16,31,46,8,23,4,879,8,6,-3,24,3,65,-2,99,3
01.11.2023,23:15:33,83,0,11,55,2,73,28,01,0,60,2,6,7,382,2,7,-3,97,2,01,-8,24,3
01.11.2023,23:15:34,22,0,11,18,1,82,29,72,12,24,6,11,1,614,9,0,8,87,-7,57,-5,47,2
01.11.2023,23:15:35,21,0,11,22,4,54,24,29,46,31,2,31,1,614,9,7,-9,89,-6,79,7,59,3
